Head of House+,Name,Age,13-Oct,20-Oct,27-Oct,3-Nov,10-Nov,17-Nov,24-Nov,1-Dec,8-Dec,15-Dec,22-Dec,29-Dec
_,_sum,0,,55,,,,,,,,,,
"Mouse, Mickey","Mouse, Mickey",43,1,1,1,l,l,1,1,1,1,1,1,1
"Mouse, Mickey","Mouse, Minnie",43,1,1,1,l,l,1,1,1,1,1,1,1
"Mouse, Mickey","Mouse, Mork",21,  1,1,1,l,l,1,1,1,1,1,1,1
"Mouse, Mickey","Mouse, Mervin",20,1,1,1,l,l,1,1,1,1,1,1,1
"Mouse, Mickey","Mouse, Martin",19,1,1,1,l,l,1,1,1,1,1,1,1
"Duck, Donald","Duck, Donald",71,  1,1,1,l,l,1,1,1,1,1,1,1
"Duck, Donald","Duck, Daisey",66,  1,1,1,l,l,1,1,1,1,1,1,1
"Duck, Donald","Duck, Huey",19,    1,1,1,l,l,1,1,1,1,1,1,1
"Duck, Donald","Duck, Duey",19,    1,1,1,l,l,1,1,1,1,1,1,1
"Duck, Donald","Duck, Luey",19,    1,1,1,l,l,1,1,1,1,1,1,1
